Hospital (Novartis),Address,City,State,Zip,rpt_rec_num,Designation,LATITUDE,LONGITUDE,State_Full,Number of Beds,County,Lookup,prostate_cancer_incidence,Demand Weight,Demand per Year
NOVANT HEALTH NEW HANOVER REGIONAL MEDICAL CENTER LLC,2243 SOUTH 17TH STREET, WILMINGTON,NC,28401-7542,776282,1,34.22701235,-77.93750268,North Carolina,771,New Hanover,North CarolinaNew Hanover County,23.1,17810.100000000002,403
CANCER INSTITUTE AT MERCY HOSPITAL,1000 NORTH VILLAGE AVE BLDG BISHOP MCGANN IMAGING CTR NCLR DEPT FL 1, ROCKVILLE CENTRE,NY,11570-1000,778084,1,40.6632344,-73.63896879,New York,152,Nassau,New YorkNassau County,21.7,3298.4,75
SHANDS JACKSONVILLE MEDICAL CENTER D/B/A UF HEALTH JACKSONVILLE,NUC MEDICINE 655 W 8TH ST, JACKSONVILLE,FL,32209-6511,794319,2,30.35930053,-81.69294081,Florida,462,Duval,FloridaDuval County,20.8,19219.2,435
DARTMOUTH HITCHCOCK MEDICAL CENTER,1 MEDICAL CENTER DRIVE, LEBANON,NH,03756,803684,5,43.67540586,-72.27140239,New Hampshire,476,Grafton,New HampshireGrafton County,33.7,80206,1814
GRIFFIN HOSPITAL,130 DIVISION STREET, DERBY,CT,06418,763314,1,41.32321111,-73.07972921,Connecticut,101,New Haven,ConnecticutNew Haven County,29.2,2949.2,67
MAYO CLINIC FLORIDA,4500 SAN PABLO RD, JACKSONVILLE,FL,32224,775683,5,30.28085336,-81.46729086,Florida,307,Duval,FloridaDuval County,20.8,31928,722
GOOD SAMARITAN UNIVERSITY HOSPITAL,1000 MONTAUK HWY, WEST ISLIP,NY,11795,778085,2,40.71080878,-73.29855831,New York,437,Suffolk,New YorkSuffolk County,27.7,24209.8,548
UNIVERSITY OF CONNECTICUT HEALTH CENTER,263 FARMINGTON AVENUE, FARMINGTON,CT,06030,793196,2,41.73152483,-72.79113002,Connecticut,165,Hartford,ConnecticutHartford County,27.3,9009,204
BAYSTATE HEALTH,759 CHESTNUT STREET, SPRINGFIELD,MA,01085,767986,1,42.12766867,-72.74934144,Massachusetts,740,Hampden,MassachusettsHampden County,24.7,18278,413
YALE NEW HAVEN HOSPITAL,20 YORK STREET, NEW HAVEN,CT,06510,795322,5,41.30625289,-72.92532107,Connecticut,1340,New Haven,ConnecticutNew Haven County,29.2,195640,4425
